index,date,north,east,individ,gender
SEP0185471,2020-09-19,7119031,521774,NRM_708,Hona
SEP0185492,2020-08-24,7118633,522847,BI406776,Hona
SEP0185496,2020-08-29,7115337,520298,BI041529,Hane
SEP0185504,2020-09-13,7119217,521562,BI407138,Hona
SEP0185516,2020-09-20,7118603,515387,NRM_973,Hona
SEP0185526,2020-09-20,7117946,519640,NRM_973,Hona
SEP0185531,2020-08-22,7117400,522573,BI407138,Hona
SEP0185534,2020-09-12,7118719,523029,BI407138,Hona
SEP0185539,2020-10-03,7114382,519269,BI041303,Hona
SEP0185542,2020-09-02,7117401,520710,NRM_1527,Hona
SEP0185544,2020-09-16,7113063,521060,NRM_797,Hona
SEP0185547,2020-09-20,7117821,516333,BI041303,Hona
SEP0185548,2020-10-03,7113907,522796,NRM_708,Hona
SEP0185553,2020-10-02,7083892,538026,NRM_1585,Hona
SEP0185562,2020-09-17,7122940,529074,NRM_1547,Hona
SEP0185566,2020-09-15,7114255,519955,NRM_973,Hona
SEP0185584,2020-10-31,7075426,530677,BI407202,Hona
SEP0185598,2020-10-18,7084089,536355,NRM_619,Hona
SEP0185602,2020-09-26,7020371,542523,NRM_709,Hona
SEP0185604,2020-10-16,7020615,542473,NRM_783,Hona
SEP0185608,2020-09-19,7021577,537033,NRM_620,Hane
SEP0185613,2020-09-12,7016832,543213,NRM_783,Hona
SEP0185623,2020-09-26,7019655,543153,NRM_709,Hona
SEP0185624,2020-09-25,7019281,544186,NRM_709,Hona
SEP0185625,2020-08-25,7028057,548397,BI407124,Hona
SEP0185626,2020-10-09,7020763,542227,NRM_783,Hona
SEP0185646,2020-09-13,7020275,543935,NRM_783,Hona
SEP0185670,2020-09-20,7015075,546170,NRM_709,Hona
